nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,2,1,0.2,0.9,0.05,0.398
10,2,1,0.2,0.925,0.05,0.393
10,2,1,0.2,0.95,0.05,0.417
10,2,1,0.2,0.975,0.05,0.41
10,2,1,0.2,1,0.05,1
10,2,1,0.3,0.9,0.05,0.647
10,2,1,0.3,0.925,0.05,0.658
10,2,1,0.3,0.95,0.05,0.668
10,2,1,0.3,0.975,0.05,0.666
10,2,1,0.3,1,0.05,1
10,2,1,0.4,0.9,0.05,0.802
10,2,1,0.4,0.925,0.05,0.784
10,2,1,0.4,0.95,0.05,0.787
10,2,1,0.4,0.975,0.05,0.823
10,2,1,0.4,1,0.05,1
10,2,1,0.5,0.9,0.05,0.897
10,2,1,0.5,0.925,0.05,0.909
10,2,1,0.5,0.95,0.05,0.906
10,2,1,0.5,0.975,0.05,0.92
10,2,1,0.5,1,0.05,1
10,2,1,0.6,0.9,0.05,0.967
10,2,1,0.6,0.925,0.05,0.954
10,2,1,0.6,0.95,0.05,0.959
10,2,1,0.6,0.975,0.05,0.956
10,2,1,0.6,1,0.05,1
10,2,1,0.7,0.9,0.05,0.988
10,2,1,0.7,0.925,0.05,0.981
10,2,1,0.7,0.95,0.05,0.985
10,2,1,0.7,0.975,0.05,0.986
10,2,1,0.7,1,0.05,1
10,2,1,0.8,0.9,0.05,0.992
10,2,1,0.8,0.925,0.05,0.995
10,2,1,0.8,0.95,0.05,0.991
10,2,1,0.8,0.975,0.05,0.996
10,2,1,0.8,1,0.05,1
10,2,2,0.2,0.9,0.05,0
10,2,2,0.2,0.925,0.05,0
10,2,2,0.2,0.95,0.05,0
10,2,2,0.2,0.975,0.05,0
10,2,2,0.2,1,0.05,1
10,2,2,0.3,0.9,0.05,0.089
10,2,2,0.3,0.925,0.05,0.093
10,2,2,0.3,0.95,0.05,0.094
10,2,2,0.3,0.975,0.05,0.097
10,2,2,0.3,1,0.05,1
10,2,2,0.4,0.9,0.05,0.224
10,2,2,0.4,0.925,0.05,0.235
